[24-05-23 06:14:37.395] LOG  : General     , 1684901677395> java.vm.name=OpenJDK 64-Bit Server VM.
[24-05-23 06:14:37.395] LOG  : General     , 1684901677395> java.vendor.version=Zulu17.30+15-CA.
[24-05-23 06:14:37.395] LOG  : General     , 1684901677395> java.vendor.url.bug=http://www.azul.com/support/.
[24-05-23 06:14:37.395] LOG  : General     , 1684901677395> java.io.tmpdir=C:\Users\zehio\AppData\Local\Temp\.
[24-05-23 06:14:37.396] LOG  : General     , 1684901677396> java.version=17.0.1.
[24-05-23 06:14:37.396] LOG  : General     , 1684901677396> user.dir=C:\Program Files (x86)\Steam\steamapp....
[24-05-23 06:14:37.396] LOG  : General     , 1684901677396> os.arch=amd64.
[24-05-23 06:14:37.396] LOG  : General     , 1684901677396> java.vm.specification.name=Java Virtual Machine Specification.
[24-05-23 06:14:37.396] LOG  : General     , 1684901677396> sun.os.patch.level=.
[24-05-23 06:14:37.396] LOG  : General     , 1684901677396> native.encoding=Cp1252.
[24-05-23 06:14:37.397] LOG  : General     , 1684901677397> java.library.path=win64/;..
[24-05-23 06:14:37.397] LOG  : General     , 1684901677397> java.vm.info=mixed mode, sharing.
[24-05-23 06:14:37.397] LOG  : General     , 1684901677397> java.vendor=Azul Systems, Inc..
[24-05-23 06:14:37.397] LOG  : General     , 1684901677397> java.vm.version=17.0.1+12-LTS.
[24-05-23 06:14:37.397] LOG  : General     , 1684901677397> sun.io.unicode.encoding=UnicodeLittle.
[24-05-23 06:14:37.397] LOG  : General     , 1684901677397> java.class.version=61.0.
[24-05-23 06:14:37.398] LOG  : General     , 1684901677398> -----.
[24-05-23 06:14:37.398] LOG  : General     , 1684901677398> version=41.78.16 demo=false.
[24-05-23 06:14:38.208] LOG  : General     , 1684901678208> LightingFPS set to 15.
[24-05-23 06:14:38.224] LOG  : General     , 1684901678224> [javafmodJNI] Init: Start.
[24-05-23 06:14:38.225] LOG  : General     , 1684901678225> [javafmodJNI] Init: WIN 64.
[24-05-23 06:14:38.262] LOG  : General     , 1684901678262> closest width=640 freq=59.
[24-05-23 06:14:38.262] LOG  : General     , 1684901678262> closest width=640 freq=60.
[24-05-23 06:14:38.263] LOG  : General     , 1684901678263> closest width=640 freq=100.
[24-05-23 06:14:38.263] LOG  : General     , 1684901678263> closest width=720 freq=59.
[24-05-23 06:14:38.263] LOG  : General     , 1684901678263> closest width=720 freq=60.
[24-05-23 06:14:38.263] LOG  : General     , 1684901678263> closest width=720 freq=100.
[24-05-23 06:14:38.263] LOG  : General     , 1684901678263> closest width=800 freq=60.
[24-05-23 06:14:38.264] LOG  : General     , 1684901678264> closest width=800 freq=100.
[24-05-23 06:14:38.264] LOG  : General     , 1684901678264> closest width=1176 freq=59.
[24-05-23 06:14:38.264] LOG  : General     , 1684901678264> closest width=1176 freq=60.
[24-05-23 06:14:38.264] LOG  : General     , 1684901678264> closest width=1280 freq=59.
[24-05-23 06:14:38.264] LOG  : General     , 1684901678264> closest width=1280 freq=60.
[24-05-23 06:14:38.264] LOG  : General     , 1684901678264> closest width=1280 freq=100.
[24-05-23 06:14:38.265] LOG  : General     , 1684901678265> closest width=1360 freq=59.
[24-05-23 06:14:38.265] LOG  : General     , 1684901678265> closest width=1360 freq=60.
[24-05-23 06:14:38.265] LOG  : General     , 1684901678265> closest width=1360 freq=100.
[24-05-23 06:14:38.265] LOG  : General     , 1684901678265> closest width=1366 freq=59.
[24-05-23 06:14:38.265] LOG  : General     , 1684901678265> closest width=1366 freq=60.
[24-05-23 06:14:38.266] LOG  : General     , 1684901678266> closest width=1366 freq=100.
[24-05-23 06:14:38.266] LOG  : General     , 1684901678266> closest width=1600 freq=59.
[24-05-23 06:14:38.266] LOG  : General     , 1684901678266> closest width=1600 freq=60.
[24-05-23 06:14:38.266] LOG  : General     , 1684901678266> closest width=1600 freq=100.
[24-05-23 06:14:38.266] LOG  : General     , 1684901678266> closest width=1680 freq=59.
[24-05-23 06:14:38.266] LOG  : General     , 1684901678266> closest width=1680 freq=60.
