[21-05-23 01:54:28.940][info] Start chat server initialization....
[21-05-23 03:09:09.030][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡HEY!'}.
[21-05-23 03:09:09.030][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡HEY!'} sent to chat (id = 2) members.
[21-05-23 03:09:09.220][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'}.
[21-05-23 03:09:09.220][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'} sent to chat (id = 2) members.
[21-05-23 03:09:09.428][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'}.
[21-05-23 03:09:09.428][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'} sent to chat (id = 2) members.
[21-05-23 03:09:09.648][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'}.
[21-05-23 03:09:09.648][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'} sent to chat (id = 2) members.
[21-05-23 03:09:09.820][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡EH TÚ!'}.
[21-05-23 03:09:09.820][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡EH TÚ!'} sent to chat (id = 2) members.
[21-05-23 03:09:10.028][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡HEY!'}.
[21-05-23 03:09:10.028][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡HEY!'} sent to chat (id = 2) members.
[21-05-23 03:09:10.239][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡HEY!'}.
[21-05-23 03:09:10.239][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡HEY!'} sent to chat (id = 2) members.
[21-05-23 03:09:10.430][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'}.
[21-05-23 03:09:10.430][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'} sent to chat (id = 2) members.
[21-05-23 03:09:10.639][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡EH TÚ!'}.
[21-05-23 03:09:10.639][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡EH TÚ!'} sent to chat (id = 2) members.
[21-05-23 03:09:10.864][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡HEY!'}.
[21-05-23 03:09:10.864][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡HEY!'} sent to chat (id = 2) members.
[21-05-23 03:09:11.063][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡EH TÚ!'}.
[21-05-23 03:09:11.063][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡EH TÚ!'} sent to chat (id = 2) members.
[21-05-23 03:09:11.270][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡HEY!'}.
[21-05-23 03:09:11.270][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡HEY!'} sent to chat (id = 2) members.
[21-05-23 03:09:11.485][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡EH TÚ!'}.
[21-05-23 03:09:11.485][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡EH TÚ!'} sent to chat (id = 2) members.
[21-05-23 03:09:11.697][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'}.
[21-05-23 03:09:11.697][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'} sent to chat (id = 2) members.
[21-05-23 03:09:11.907][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'}.
[21-05-23 03:09:11.907][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'} sent to chat (id = 2) members.
[21-05-23 03:09:12.117][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡HEY!'}.
[21-05-23 03:09:12.117][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡HEY!'} sent to chat (id = 2) members.
[21-05-23 03:09:12.318][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡EH TÚ!'}.
[21-05-23 03:09:12.318][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡EH TÚ!'} sent to chat (id = 2) members.
[21-05-23 03:09:12.527][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'}.
[21-05-23 03:09:12.527][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'} sent to chat (id = 2) members.
[21-05-23 03:09:12.776][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'}.
[21-05-23 03:09:12.776][info] Message ChatMessage{chat=Local, author='Danowookie', text='¡POR AQUÍ!'} sent to chat (id = 2) members.
[21-05-23 03:09:13.003][info] Got message:ChatMessage{chat=Local, author='Danowookie', text='¡EH TÚ!'}.
